id	year	buy	age	edu	income	exp	co	ad	prod
1	2013	1	5	3	17600	8800	9.3	11.36	5.01
2	2013	0	4	2	2500	2300	10.2	0.39	
3	2013	0	3	1	6700	5400	30.6	3.83	16.67
4	2013	1	2	1	1900	1200	24.4	1.36	3.28
5	2013	0	3	1	2500	1900	19.7	2.78	2.15
6	2013	0	2	1	1600	1100	1.7	0.18	0.09
7	2013	1	3	2	4100	4100	16.4	2.92	3.81
8	2013	0	5	2	5800	3800	18.4	3.08	7.59
9	2013	0	3	1	2200	1700	10.5	1.14	1.17
10	2013	0	2	1	3500	2800	2.9	0.08	0.94
11	2013	0	3	1	4800	3800	13.1	1.93	4.36
12	2013	0	3	3	2500	2400	3.7	0.31	0.61
13	2013	0	3	1	3400	2500	5	0.4	1.3
14	2013	0	4	3	10000	5600	2.5	1.49	1.02
15	2013	0	3	1	2300	1900	12.4	0.87	1.98
16	2013	0	3	1	4600	4300	9.1	2.52	1.67
17	2013	1	2	2	3100	2600	8.2	1.49	1.05
18	2013	0	4	4	2600	2300	10.6	1.52	1.24
19	2013	0	4	1	4400	4400	1.7	0.07	0.68
20	2013	0	5	1	5100	3100	23.8	3.74	8.4
21	2013	0	2	1	2100	2000	0.6	0.03	0.1
22	2013	0	3	1	4500	2400	17	2.74	4.91
23	2013	0	2	1	2000	1500	5.4	0.32	0.76
24	2013	1	2	2	3600	2000	12.4	3.49	0.97
25	2013	0	3	1	2300	2000	6.2	0.05	1.37
26	2013	0	3	1	5400	3800	10.6	1.5	4.22
27	2013	1	4	3	1500	1700	26.3	1.96	1.98
28	2013	0	4	1	5200	4800	7.3	0.93	2.87
29	2013	0	3	1	2700	1600	5.8	0.78	0.79
30	2013	0	2	1	2600	1100	13.5	1.3	2.21
31	2013	0	4	3	3900	3500	4.9	0.46	1.45
32	2013	0	3	1	4100	1400	8.9	0.27	3.38
33	2013	0	2	3	2400	2000	7.7	0.83	1.01
34	2013	0	4	1	5100	2600	21.4	2.41	8.5
35	2013	0	2	2	3300	3600	5.2	0.55	1.16
36	2013	0	3	2	6500	5200	6.2	2.11	1.92
37	2013	0	4	1	4300	2300	4.4	0.69	1.2
38	2013	1	5	2	6800	4700	13	1.02	7.82
39	2013	0	2	4	2700	2400	2.9	0.31	0.47
40	2013	0	2	2	5700	2900	2.2	0.45	0.8
41	2013	0	2	2	2300	1800	12.4	0.29	2.57
42	2013	0	4	1	2800	1400	5.9	0.96	0.69
43	2013	1	2	2	3700	1600	6.6	1.16	1.28
44	2013	1	2	1	1600	1200	16	1.01	1.55
45	2013	0	4	2	4100	2500	3.4	0.36	1.04
46	2013	0	2	4	2600	2900	12.4	0.38	2.85
47	2013	0	3	1	3300	2200	8.4	0.68	2.09
48	2013	0	3	1	3200	2500	11.3	2.1	1.51
49	2013	1	5	1	2800	3200	14.8	1.56	2.59
50	2013	0	3	1	2600	1500	4.5	0.31	0.86
51	2013	0	2	3	4400	3400	8.7	0.77	3.05
52	2013	1	3	2	2400	1400	12.5	0.59	2.41
53	2013	0	5	1	7900	5400	4	1.73	1.43
54	2013	0	3	1	2100	1900	7.5	0.57	1.01
55	2013	1	5	2	3500	1300	22.9	2.12	5.89
56	2013	0	3	1	4600	2800	5	0.56	1.74
57	2013	0	4	2	5700	4400	5.6	0.88	2.31
58	2013	0	2	1	3400	1300	6.5	0.85	1.36
59	2013	1	3	1	2800	1400	11.2	0.82	2.32
60	2013	1	3	1	2100	1600	2.5	0.28	0.25
61	2013	0	3	2	4000	3200	7.2	0.18	2.7
62	2013	0	2	3	6300	5600	5.5	0.57	2.89
63	2013	0	4	3	11600	8700	6	2.56	4.4
64	2013	0	5	1	8100	4700	7.2	1.78	4.05
65	2013	0	2	1	2400	1300	2.4	0.11	0.47
66	2013	1	5	3	7000	5700	19.9	3.18	10.75
67	2013	0	2	1	1700	1800	7.9	0.3	1.04
68	2013	0	2	1	2200	2000	14.4	0.85	2.32
69	2013	0	3	2	3800	2100	0.6	0.03	0.2
70	2013	0	3	2	3300	2800	2.8	0.1	0.82
71	2013	0	3	1	2700	2900	0.9	0.07	0.17
72	2013	0	5	3	11800	8800	14.4	9.6	7.39
73	2013	0	3	1	3900	2500	1.8	0.14	0.56
74	2013	0	3	1	2500	2600	14.1	1.18	2.35
75	2013	0	3	1	4000	2500	18.5	1.21	6.19
76	2013	0	3	2	9800	6300	13.3	4.87	8.16
77	2013	0	3	1	4400	4100	4.5	0.61	1.37
78	2013	0	4	1	3000	1800	24.5	2.21	5.14
79	2013	0	2	2	1800	1100	11.9	0.4	1.74
80	2013	0	2	1	1600	1600	15.2	0.87	1.56
81	2013	0	3	1	4500	3600	3.7	0.92	0.75
82	2013	0	5	2	12000	7300	7.6	4.14	4.98
83	2013	0	2	1	1600	900	1.2	0.08	0.11
84	2013	0	3	1	3800	2200	21	0.69	7.29
85	2013	0	2	2	3800	2000	7.2	0.77	1.96
86	2013	0	3	1	3600	4400	2.4	0.27	0.59
87	2013	0	3	1	3800	3300	8.9	1.9	1.48
88	2013	1	3	1	2800	1400	4.8	0.35	1
89	2013	0	2	1	2500	1600	13.9	1.07	2.4
90	2013	0	3	2	3000	1800	7.6	0.65	1.63
91	2013	0	5	1	3600	3200	3.4	0.18	1.05
92	2013	0	2	1	3600	2600	6.1	0.71	1.49
93	2013	0	3	4	3200	3400	5.5	0.5	1.26
94	2013	0	4	1	5200	4300	5.4	0.93	1.88
95	2013	0	2	1	1700	1100	9	0.47	1.06
96	2013	0	3	1	5600	4600	1.9	0.54	0.52
97	2013	0	2	3	7500	7600	6.3	2.21	2.52
98	2013	0	3	3	4400	3500	14.7	0.45	6.02
99	2013	0	3	1	5700	2600	19.4	1.56	9.5
100	2013	1	3	1	6000	4700	27.1	9.59	6.67
101	2013	0	4	1	3100	2200	11.6	1.02	2.57
102	2013	0	3	1	5200	3500	20	4.16	6.24
103	2013	0	2	4	2300	1800	6.7	0.47	1.07
104	2013	0	5	1	2400	1500	5	0.38	0.82
105	2013	1	2	3	4500	3800	11	0.29	4.66
106	2013	0	4	1	4900	3100	1.6	0.43	0.35
107	2013	1	3	1	2300	1600	8.1	0.9	0.97
108	2013	1	4	2	3500	1800	16.4	1.58	4.16
109	2013	1	5	1	12000	12900	26.5	14.6	17.2
110	2013	0	4	1	8900	6800	17.4	2.77	12.71
111	2013	0	4	1	3200	2300	3.7	0.85	0.33
112	2013	0	2	1	3100	2100	8	0.16	2.32
113	2013	1	2	3	4700	2300	19.8	5.57	3.73
114	2013	0	3	1	3200	2400	11.3	1.17	2.45
115	2013	0	4	2	4300	3700	0.7	0.09	0.22
116	2013	0	3	2	6200	5300	8.5	1.19	4.08
117	2013	1	2	2	1500	1500	16.1	0.32	2.09
118	2013	0	2	1	2700	1600	2.3	0.07	0.55
119	2013	0	4	2	3000	3200	6.7	0.11	1.9
120	2013	1	3	1	1800	1200	12.9	1.58	0.74
121	2013	0	3	1	6700	6400	11.2	5.25	2.26
122	2013	0	3	1	5100	2800	9.6	1.88	3.02
123	2013	1	3	1	7200	7000	41.3	15.02	14.72
124	2013	0	2	1	4500	2600	7.7	1.85	1.61
125	2013	1	4	1	5000	5600	30.8	6.11	9.29
126	2013	0	2	1	2200	2100	5.1	0.21	0.91
127	2013	0	4	5	12600	5400	3.1	0.48	3.43
128	2013	0	3	1	2300	2200	4.9	0.23	0.9
129	2013	0	3	1	5600	5500	6.1	0.86	2.55
130	2013	1	5	4	7800	6100	17.3	6.94	6.56
131	2013	0	3	1	2800	2800	17	1.14	3.62
132	2013	0	2	2	2800	1900	9.3	1.27	1.33
133	2013	1	2	1	1600	1500	9.6	0.8	0.73
134	2013	0	3	2	5600	3100	1.6	0.44	0.45
135	2013	0	4	3	6400	4300	6.6	0.28	3.95
136	2013	0	4	2	13200	6100	3	2.56	1.4
137	2013	1	2	2	2900	1600	21.2	2.33	3.82
138	2013	0	3	2	5600	4400	6.4	0.33	3.25
139	2013	0	4	1	2900	1900	4.6	0.05	1.28
140	2013	1	5	2	5700	2400	23.8	5.44	8.13
141	2013	0	4	2	8300	5400	4.1	0.26	3.14
142	2013	0	3	4	3200	1900	1.6	0.02	0.49
143	2013	0	4	1	8900	7100	0.4	0.16	0.2
144	2013	1	2	1	2500	1900	4.5	0.12	1
145	2013	0	4	1	7600	5200	20.5	6.95	8.63
146	2013	1	3	1	6800	5700	25.1	7.82	9.25
147	2013	0	5	1	3600	3200	4.8	0.83	0.89
148	2013	0	3	2	5600	3700	18.7	4.76	5.71
149	2013	0	4	3	15700	9400	6.6	3.33	7.04
150	2013	0	3	2	4500	1900	3.7	0.98	0.68
151	2013	0	4	1	10000	5300	14.6	5.4	9.2
152	2013	0	3	1	4200	2600	9.1	1.54	2.28
153	2013	1	2	1	2100	1100	28.9	2.68	3.39
154	2013	0	2	2	2200	1000	11.5	0.65	1.88
155	2013	0	3	1	1700	1500	12	0.3	1.74
156	2013	0	2	1	1400	1300	17.5	0.23	2.22
157	2013	0	3	1	1900	1100	4.4	0.34	0.5
158	2013	1	2	2	2100	1400	12.5	0.49	2.14
159	2013	0	4	1	3000	2800	22.3	2.66	4.03
160	2013	0	2	2	3400	2100	4.4	0.24	1.26
161	2013	0	5	2	6500	5400	18.4	1.99	9.97
162	2013	1	2	4	2900	1900	6.6	0.59	1.32
163	2013	0	5	1	1800	2100	4.4	0.27	0.52
164	2013	1	2	4	2300	2200	5.7	0.32	0.99
165	2013	1	3	2	5700	5400	20.9	6.11	5.8
166	2013	1	4	2	3300	2600	7.1	1.19	1.15
167	2013	1	2	1	1800	1700	18.9	0.51	2.89
168	2013	0	2	3	1800	1200	7.7	0.48	0.91
169	2013	0	4	1	7900	9700	7.5	0.78	5.14
