"","GDP","laborrate","healthexp","infmortality"
"Mongolia",1690.4169836122,72.9,74.1982634639,27.8
"Canada",39599.0418054439,67.8,4379.760838202,5.2
"Guatemala",2684.9664061475,66.9,186.1231265171,25.9
"Austria",45555.4345438633,60.4,5037.3108857138,3.6
"Zambia",1006.3881820894,69.2,47.0563715775,71.5
"Bulgaria",6403.1476861133,54.5,474.8463716128,11.1
"Azerbaijan",4808.1688373268,63,284.7252841652,41.1
"Greece",28936.4808718888,53.7,3040.7338305388,3.5
"Benin",771.7087701577,72.7,31.928850264,74.7
"Egypt, Arab Rep.",2370.7111103535,48.8,113.297174278,20
"Italy",35073.3224650438,49.1,3327.6298693268,3.2
"Nepal",438.178437353,71.5,25.34453611,43.3
"Malaysia",6908.661090062,62,336.4385766161,5.6
"Israel",26102.3505745939,57.1,1966.4718896328,3.7
"Korea, Rep.",17109.9850624854,60.9,1107.9483325155,4.3
"Kenya",744.4031028842,82.2,33.249120238,56.3
"Algeria",4022.1988778337,58.5,267.9465312808,32
"Croatia",14322.6081019954,53,1120.371091199,4.9
"Lesotho",800.4201911709,74,70.0499259164,67
"Ireland",49737.927449366,63.6,4951.8446871335,3.4
"Nigeria",1091.1343729561,56.2,69.2973691764,90.4
"Liberia",229.2703052092,71.1,29.3561294764,77.6
"Lebanon",8321.3707405574,46.1,663.27358145,19.4
"Macedonia, FYR",4510.2380383035,54,313.6897123673,10.6
"Turkmenistan",3710.453641377,68,77.0695510598,48
