"Name1","Name2"
"Betty Draper","Henry Francis"
"Betty Draper","Random guy"
"Don Draper","Allison"
"Don Draper","Bethany Van Nuys"
"Don Draper","Betty Draper"
"Don Draper","Bobbie Barrett"
"Don Draper","Candace"
"Don Draper","Doris"
"Don Draper","Faye Miller"
"Don Draper","Joy"
"Don Draper","Megan Calvet"
"Don Draper","Midge Daniels"
"Don Draper","Rachel Menken"
"Don Draper","Shelly"
"Don Draper","Suzanne Farrell"
"Don Draper","Woman at the Clios party"
"Harry Crane","Hildy"
"Harry Crane","Jennifer Crane"
"Joan Holloway","Franklin"
"Joan Holloway","Greg Harris"
"Joan Holloway","Roger Sterling"
"Lane Pryce","Janine"
"Lane Pryce","Rebecca Pryce"
"Lane Pryce","Toni"
"Peggy Olson","Abe Drexler"
"Peggy Olson","Brooklyn College Student"
"Peggy Olson","Duck Phillips"
"Peggy Olson","Mark"
"Peggy Olson","Pete Campbell"
"Pete Campbell","Gudrun"
"Pete Campbell","Playtex bra model"
"Pete Campbell","Trudy Campbell"
"Roger Sterling","Ida Blankenship"
"Roger Sterling","Jane Siegel"
"Roger Sterling","Mirabelle Ames"
"Roger Sterling","Mona Sterling"
"Roger Sterling","Vicky"
"Sal Romano","Bellhop in Baltimore"
"Sal Romano","Kitty Romano"
